"ID";"Name";"global_id";"IsNetObject";"OperatingCompany";"TypeObject";"AdmArea";"District";"Address";"PublicPhone";"SeatsCount";"SocialPrivileges";"Longitude_WGS84";"Latitude_WGS84";"geoData";"geodata_center";
"Код";"Наименование";"global_id";"Является сетевым";"Название управляющей компании";"Вид объекта";"Административный округ по адресу";"Район";"Адрес";"Контактный телефон";"Число посадочных мест";"Показатель социальных льгот";"Долгота в WGS-84";"Широта в WGS-84";"geoData";"geodata_center";
"00289192";"Кальянная «DOPE»";"1078558650";"нет";"";"кафе";"Восточный административный округ";"район Гольяново";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Уральская улица, дом 12/21";"nested data";"20";"нет";"37.7991630000000000";"55.8180007754628420";"{coordinates=[37.799163, 55.818000775], type=Point}";"{coordinates=[37.799163, 55.818000775], type=Point}";
"00289193";"Кальянная «Лофт»";"1078558652";"нет";"";"кафе";"Восточный административный округ";"район Гольяново";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 9";"nested data";"44";"нет";"37.7589340000000040";"55.8057127718775590";"{coordinates=[37.758934, 55.805712772], type=Point}";"{coordinates=[37.758934, 55.805712772], type=Point}";
"00289248";"Мелисса Флеминг";"1078558677";"нет";"";"кафе";"Центральный административный округ";"Пресненский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Брюсов переулок, дом 11, строение 1";"nested data";"20";"нет";"37.6058852535282990";"55.7588552100440400";"{coordinates=[37.605885254, 55.75885521], type=Point}";"{coordinates=[37.605885254, 55.75885521], type=Point}";
"00289251";"Шаурма";"1078558679";"нет";"";"предприятие быстрого обслуживания";"Южный административный округ";"район Чертаново Центральное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Центральное, 1-й Дорожный проезд, дом 1Б";"nested data";"0";"нет";"37.6131710000000080";"55.6160477170318470";"{coordinates=[37.613171, 55.616047717], type=Point}";"{coordinates=[37.613171, 55.616047717], type=Point}";
"00289325";"Camera Obscura Coffee";"1078558695";"нет";"";"кафетерий";"Южный административный округ";"Даниловский район";"город Москва, проспект Андропова, дом 18, корпус 1";"nested data";"0";"нет";"37.6627870000000020";"55.6950097397527980";"{coordinates=[37.662787, 55.69500974], type=Point}";"{coordinates=[37.662787, 55.69500974], type=Point}";
"00289111";"Cafe 55";"1078558705";"нет";"";"кафе";"Северо-Восточный административный округ";"Останкинский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, проспект Мира, дом 119, строение 55";"nested data";"20";"нет";"37.6231970000000000";"55.8353870000000000";"{coordinates=[37.623197, 55.835387], type=Point}";"{coordinates=[37.623197, 55.835387], type=Point}";
"00289365";"ИКУРА Паб";"1078558716";"да";"Икура Паб";"кафе";"Северо-Западный административный округ";"район Куркино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Куркино, Родионовская улица, дом 12";"nested data";"24";"нет";"37.3905750000000130";"55.8938547976808880";"{coordinates=[37.390575, 55.893854798], type=Point}";"{coordinates=[37.390575, 55.893854798], type=Point}";
"00289409";"Батони";"1078558744";"нет";"";"предприятие быстрого обслуживания";"Новомосковский административный округ";"район Коммунарка";"Российская Федерация, город Москва, внутригородская территория поселение Московский, Киевское шоссе, 23-й километр, дом 1";"nested data";"0";"нет";"37.4222229999999950";"55.6235167191741270";"{coordinates=[37.422223, 55.623516719], type=Point}";"{coordinates=[37.422223, 55.623516719], type=Point}";
"00289411";"Столовая";"1078558748";"нет";"";"столовая";"Северный административный округ";"Тимирязевский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тимирязевский, Локомотивный проезд, дом 21, строение 5";"nested data";"20";"нет";"37.5729100000000000";"55.8447147832706320";"{coordinates=[37.57291, 55.844714783], type=Point}";"{coordinates=[37.57291, 55.844714783], type=Point}";
"00289438";"My lounge room";"1078558760";"нет";"";"бар";"Центральный административный округ";"Басманный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Гарднеровский переулок, дом 3, строение 4";"nested data";"60";"нет";"37.6782810000000000";"55.7665420000000000";"{coordinates=[37.678281, 55.766542], type=Point}";"{coordinates=[37.678281, 55.766542], type=Point}";
"00289445";"Cofee club";"1078558764";"нет";"";"кафе";"Северный административный округ";"район Беговой";"город Москва, Ленинградский проспект, дом 30, строение 2";"nested data";"4";"нет";"37.5708369999999900";"55.7845877657229680";"{coordinates=[37.570837, 55.784587766], type=Point}";"{coordinates=[37.570837, 55.784587766], type=Point}";
"00289485";"Кулинарная Студия МУКА";"1078558770";"нет";"";"магазин (отдел кулинарии)";"Центральный административный округ";"Пресненский район";"город Москва, Шмитовский проезд, дом 16, строение 1";"nested data";"0";"нет";"37.5471729142324830";"55.7580304211857300";"{coordinates=[37.547172914, 55.758030421], type=Point}";"{coordinates=[37.547172914, 55.758030421], type=Point}";
"00289494";"Moriarty Bar & Kitchen";"1078558773";"нет";"";"бар";"Центральный административный округ";"Пресненский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Рочдельская улица, дом 15, строение 35";"nested data";"39";"нет";"37.5661376605623970";"55.7568773587266410";"{coordinates=[37.566137661, 55.756877359], type=Point}";"{coordinates=[37.566137661, 55.756877359], type=Point}";
"00289497";"Ешь хлеб";"1078558775";"нет";"";"кафе";"Центральный административный округ";"Басманный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Большая Почтовая улица, дом 26, строение 1";"nested data";"40";"нет";"37.6978039999999910";"55.7787997640386730";"{coordinates=[37.697804, 55.778799764], type=Point}";"{coordinates=[37.697804, 55.778799764], type=Point}";
"00289512";"Чичико";"1078558781";"нет";"";"ресторан";"Западный административный округ";"район Очаково-Матвеевское";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Нежинская улица, дом 5Б";"nested data";"40";"нет";"37.4748799999999920";"55.7138237451901330";"{coordinates=[37.47488, 55.713823745], type=Point}";"{coordinates=[37.47488, 55.713823745], type=Point}";
"00289518";"SEPTA BAR";"1078558785";"нет";"";"ресторан";"Западный административный округ";"район Филёвский Парк";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, Большая Филёвская улица, дом 4";"nested data";"32";"нет";"37.5130319999999880";"55.7544757569699310";"{coordinates=[37.513032, 55.754475757], type=Point}";"{coordinates=[37.513032, 55.754475757], type=Point}";
